ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023;INSE_2023;N_ALUNOS_INSE;INSE_CLASSIFICACAO;TDI_2023;IED_2023;Nome do Município;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_PORT_2023;SPAECE_MAT_2023;SPAECE_MEDIA_2023;INF_2023;ATU_CENSO_2023;PCB_2023;PCH_2023
23072180;ESCOLA MUNICIPAL PADRE ARIMATEIA DINIZ;Municipal;1.0;252.75;259.09;5.197333;5.2;4.65;151;Nível IV;11.9;390.7;Fortaleza;ESCOLA MUNICIPAL PADRE ARIMATEIA DINIZ;Municipal;84.7;4.7;10.6;0.0;0.0;93.76;100.0;2.362296;37.6;6.9;4;0.7;257.283681261187;247.0175328861;252.1506070736435;10.0;24.5;17.12962962962963;52.26757369614512
23072202;ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA;Municipal;1.0;241.2;254.85;4.934167;4.9;4.54;218;Nível IV;18.9;391.9;Fortaleza;ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA;Municipal;85.8;0.0;2.0;0.0;12.2;86.8;89.2;2.577516;33.1;7.0;3;2.4;236.285939669601;230.254444485841;233.270192077721;10.0;33.125;18.03652968036529;52.20125786163522
23072229;ESCOLA MUNICIPAL VEREADOR JOSE BARROS DE ALENCAR;Municipal;0.966759;248.71;258.23;5.115667;4.9;4.58;148;Nível IV;14.5;384.50000000000006;Fortaleza;ESCOLA MUNICIPAL VEREADOR JOSE BARROS DE ALENCAR;Municipal;97.5;0.0;0.0;0.0;2.5;97.5;96.2;2.769275;32.0;6.8;3;0.6;246.900818759104;232.18019794467;239.540508351887;9.0;32.0;10.434782608695652;54.1015625
23072245;ESCOLA MUNICIPAL JOSE BONIFACIO DE SOUSA;Municipal;0.999248;248.22;262.13;5.1725;5.2;4.41;231;Nível III;17.6;388.5;Fortaleza;ESCOLA MUNICIPAL JOSE BONIFACIO DE SOUSA;Municipal;86.1;0.3;2.8;0.8;10.0;87.89999999999999;93.3;3.200797;34.2;6.9;3;0.7;258.333892252577;238.751641031774;248.5427666421755;9.0;34.1875;11.317567567567568;50.18281535648994
23072270;ESCOLA MUNICIPAL JOSE DE ALENCAR;Municipal;1.0;248.24;267.64;5.264667;5.3;4.59;233;Nível IV;16.2;381.1;Fortaleza;ESCOLA MUNICIPAL JOSE DE ALENCAR;Municipal;87.9;0.0;9.1;0.0;3.0;92.45;97.3;2.666218;36.1;6.7;3;0.9;263.26933474563;243.126687872774;253.198011309202;10.0;36.095238095238095;15.040650406504067;53.03430079155673
23072504;ESCOLA MUNICIPAL PROFESSOR JOSE PARSIFAL BARROSO;Municipal;0.986377;250.84;264.66;5.258333;5.2;4.56;175;Nível IV;18.0;396.8;Fortaleza;ESCOLA MUNICIPAL PROFESSOR JOSE PARSIFAL BARROSO;Municipal;79.8;6.0;10.4;0.0;3.8;89.8;96.9;3.143146;35.5;6.9;3;2.1;255.259163065041;242.243446618931;248.751304841986;9.0;35.53333333333333;13.333333333333334;51.03189493433396
23072512;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;Municipal;0.998493;262.03;268.77;5.513333;5.5;4.66;287;Nível IV;13.6;387.4;Fortaleza;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;Municipal;94.3;1.4;2.9;1.4;0.0;97.15;100.0;3.277347;33.6;5.8;3;1.5;265.419537464185;255.287141443455;260.35333945382;11.0;33.57142857142857;7.100591715976331;46.297872340425535
23072520;ESCOLA MUNICIPAL PROFESSOR JOSE REBOUCAS MACAMBIRA;Municipal;1.0;248.44;261.56;5.166667;5.2;4.51;278;Nível IV;13.4;387.5;Fortaleza;ESCOLA MUNICIPAL PROFESSOR JOSE REBOUCAS MACAMBIRA;Municipal;85.4;0.0;6.4;0.0;8.2;88.60000000000001;93.6;2.987546;36.1;6.6;4;1.8;254.036339679627;244.29981658663;249.1680781331285;10.0;29.205128205128204;18.937644341801384;51.62423178226514
23072911;ESCOLA MUNICIPAL PRESIDENTE KENNEDY;Municipal;0.98681;263.45;270.84;5.5715;5.5;4.56;164;Nível IV;17.0;389.3;Fortaleza;ESCOLA MUNICIPAL PRESIDENTE KENNEDY;Municipal;85.2;0.0;6.6;3.1;5.1;89.12;92.1;2.872671;38.9;7.1;5;1.1;278.823184104409;260.686753485942;269.7549687951755;9.0;36.130434782608695;9.109730848861282;47.773766546329725
23073080;ESCOLA MUNICIPAL MONSENHOR LINHARES;Municipal;0.917996;251.89;258.76;5.1775;4.8;4.64;171;Nível IV;20.2;416.2;Fortaleza;ESCOLA MUNICIPAL MONSENHOR LINHARES;Municipal;96.5;2.5;0.0;0.0;1.0;98.5;97.3;3.243696;34.5;6.4;5;2.0;253.432404858333;241.768642470836;247.6005236645845;11.0;34.08695652173913;13.507109004739338;51.65816326530612
