Nome do Município;ID_ESCOLA;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023
Fortaleza;23215267;ESCOLA MUNICIPAL ANTONIO CORREIA LIMA;Municipal;95.2;0.0;0.6;0.0;4.2;95.5
Fortaleza;23222964;ESCOLA MUNICIPAL HEITOR VILLA LOBOS;Municipal;;;;;;
Fortaleza;23227419;ESCOLA MUNICIPAL FRANCISCA DE ABREU LIMA;Municipal;;;;;;
Fortaleza;23233702;ESCOLA MUNICIPAL IMACULADA CONCEICAO;Municipal;;;;;;
Fortaleza;23233729;ESCOLA MUNICIPAL LUIS ANGELO PEREIRA;Municipal;;;;;;
Fortaleza;23233800;ESCOLA MUNICIPAL SINO PINHEIRO;Municipal;;;;;;
Fortaleza;23233834;ESCOLA MUNICIPAL IRMA MARIA EVANETE;Municipal;;;;;;
Fortaleza;23233842;ESCOLA MUNICIPAL JOAO ESTANISLAU FACANHA;Municipal;91.3;0.0;8.7;0.0;0.0;95.64999999999999
Fortaleza;23233877;ESCOLA MUNICIPAL NOELZINDA SATIRO SANTIAGO;Municipal;;;;;;
Fortaleza;23234067;ESCOLA MUNICIPAL JONATHAN DA ROCHA ALCOFORADO;Municipal;87.9;0.0;3.3;0.0;8.8;89.55000000000001
Fortaleza;23234172;ESCOLA MUNICIPAL MONTEIRO LOBATO;Municipal;;;;;;
Fortaleza;23234300;ESCOLA MUNICIPAL DOM HELDER CAMARA;Municipal;;;;;;
Fortaleza;23234318;ESCOLA MUNICIPAL HERONDINA LIMA CAVALCANTE;Municipal;90.9;0.9;4.1;0.0;4.1;93.67
Fortaleza;23234407;ESCOLA MUNICIPAL JOSE BATISTA DE OLIVEIRA;Municipal;;;;;;
Fortaleza;23234423;ESCOLA MUNICIPAL MARIA DE CARVALHO MARTINS;Municipal;;;;;;
Fortaleza;23234440;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FRANCISCA FERNANDES MAGALHAES;Municipal;;;;;;
Fortaleza;23235080;ESCOLA MUNICIPAL PROFESSOR JOSE MARIA MOREIRA CAMPOS;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23235128;ESCOLA MUNICIPAL ISABEL FERREIRA;Municipal;;;;;;
Fortaleza;23235365;ESCOLA MUNICIPAL PROFESSORA VANIA MARIA NEVES FACO BARROS;Municipal;;;;;;
Fortaleza;23235373;ESCOLA MUNICIPAL JOAO SARAIVA LEAO;Municipal;;;;;;
Fortaleza;23242469;ESCOLA MUNICIPAL CATARINA LIMA DA SILVA;Municipal;75.7;0.0;0.0;5.4;18.9;76.78
Fortaleza;23242710;ESCOLA MUNICIPAL SANTA TEREZINHA;Municipal;;;;;;
Fortaleza;23244283;ESCOLA MUNICIPAL PROFESSOR JOSE CIRIO PEREIRA FILHO;Municipal;;;;;;
Fortaleza;23244291;ESCOLA MUNICIPAL MANOELITO GUIMARAES DOMINGUES;Municipal;;;;;;
Fortaleza;23244305;ESCOLA MUNICIPAL JOSE ALCIDES PINTO;Municipal;83.9;1.6;9.5;0.0;5.0;89.93
Fortaleza;23244976;ESCOLA MUNICIPAL IRMA GIULIANA GALLI;Municipal;;;;;;
Fortaleza;23245182;ESCOLA MUNICIPAL JORNALISTA DEMOCRITO DUMMAR;Municipal;;;;;;
Fortaleza;23245212;ESCOLA MUNICIPAL JOSE NAURI BRAGA;Municipal;;;;;;
Fortaleza;23245379;ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA;Municipal;;;;;;
Fortaleza;23250275;ESCOLA MUNICIPAL FREI AGOSTINHO FERNANDES;Municipal;;;;;;
Fortaleza;23250429;ESCOLA MUNICIPAL JOSE BARROS DE ALENCAR;Municipal;;;;;;
Fortaleza;23250550;ESCOLA MUNICIPAL FRANCISCO ANDRADE TEOFILO GIRAO;Municipal;94.9;0.0;5.1;0.0;0.0;97.45
Fortaleza;23250623;ESCOLA MUNICIPAL CESAR CALS DE OLIVEIRA NETO;Municipal;;;;;;
Fortaleza;23250631;ESCOLA MUNICIPAL PROFESSOR ERNESTO GURGEL;Municipal;97.3;0.0;0.0;2.7;0.0;97.84
Fortaleza;23250666;ESCOLA MUNICIPAL RAIMUNDO DE MOURA MATOS;Municipal;;;;;;
Fortaleza;23255641;ESCOLA MUNICIPAL MANOEL RODRIGUES;Municipal;88.6;0.0;11.4;0.0;0.0;94.3
Fortaleza;23255668;ESCOLA MUNICIPAL DOM ANTONIO BATISTA DE FRAGOSO;Municipal;93.9;0.0;6.1;0.0;0.0;96.95
Fortaleza;23255749;ESCOLA MUNICIPAL JESUS CRISTO;Municipal;;;;;;
Fortaleza;23255854;ESCOLA MUNICIPAL MARIA DALVA SEVERINO MARREIRO;Municipal;;;;;;
Fortaleza;23255889;ESCOLA MUNICIPAL NOSSA SENHORA DO PERPETUO SOCORRO;Municipal;95.2;0.0;3.0;0.0;1.8;96.7
Fortaleza;23255951;ESCOLA MUNICIPAL RAIMUNDO DE SOUSA MANGUEIRA;Municipal;;;;;;
Fortaleza;23255960;ESCOLA MUNICIPAL RACHEL DE QUEIROZ;Municipal;;;;;;
Fortaleza;23256001;ESCOLA MUNICIPAL LIONS CLUBE FORTALEZA FATIMA;Municipal;;;;;;
